date,platform,country,networks,market_volume
2021-11-30,iOS,UK,IronSource,123292.57671595328
2021-12-04,iOS,US,AdMob,3885051.898910695
2021-12-04,iOS,US,Chartboost,706592.7566854839
2021-12-04,iOS,US,Facebook,3478999.3733624998
2021-12-04,iOS,US,Unity,2851935.4925075974
2021-12-04,iOS,US,IronSource,1957499.3025
2021-12-04,iOS,US,Amazon,3413068.802419354
2021-12-04,iOS,US,AppLovin,2030379.7915384616
2021-12-04,iOS,US,other,1967129.812524324
2021-12-01,Android,US,other,803339.1675023494
2021-12-01,Android,US,AppLovin,1357809.6108240534
2021-12-01,Android,US,Chartboost,767465.19795
2021-12-01,Android,US,Unity,944037.5462921739
2021-12-01,Android,US,IronSource,783544.6291375291
2021-12-01,Android,US,Facebook,2031953.9542044445
2021-12-01,Android,US,AdMob,3612757.411052942
2021-12-01,Android,US,Amazon,1565689.052738589
2021-12-05,Android,UK,AppLovin,585358.1734939758
2021-12-05,Android,UK,Chartboost,40580.241
2021-12-05,Android,UK,other,187756.8264
2021-12-05,Android,UK,IronSource,440479.22533333336
2021-12-05,Android,UK,Unity,625722.21504
2021-12-05,Android,UK,AdMob,1586008.4039999999
2021-12-05,Android,UK,Facebook,768277.3942999999
2021-11-30,Android,US,Unity,1126206.7161123457
2021-11-30,Android,US,Facebook,1850979.452773445
2021-11-30,Android,US,IronSource,738690.069284491
2021-11-30,Android,US,other,1042569.1084543673
2021-11-30,Android,US,Chartboost,146030.38296236555
2021-11-30,Android,US,AppLovin,1242764.7089376645
2021-11-30,Android,US,AdMob,4620390.690097255
2021-11-30,Android,US,Amazon,1582012.3274093072
2021-12-05,iOS,AR,other,21036.5262295082
2021-12-05,iOS,AR,Unity,5049.5859
2021-12-05,iOS,AR,Chartboost,5499.549
2021-12-05,iOS,AR,AppLovin,32809.809375000004
2021-12-05,iOS,AR,IronSource,16748.6265
2021-12-05,Android,US,other,1807495.9517387266
2021-12-05,Android,US,AppLovin,2282010.620278129
2021-12-05,Android,US,IronSource,1341120.7460465117
